"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","stflife"
"ESS3e03_7",3,"3.7","01.12.2018",911,"BG",0.768,1.3992437,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",914,"BG",0.768,0.6884209,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",920,"BG",1.5359,1.8497541,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",1003,"BG",1.5359,1.314044,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",1005,"BG",0.384,0.31372887,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",1007,"BG",0.768,1.0218948,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",1012,"BG",1.5359,1.961674,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",1013,"BG",0.768,0.65706474,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",1016,"BG",0.384,0.53927904,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",1019,"BG",1.5359,2.0436566,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",1101,"BG",0.768,0.5528402,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",1103,"BG",1.5359,1.068032,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",1105,"BG",0.768,0.53405076,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",1106,"BG",0.384,0.31941324,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",1108,"BG",0.768,1.0218948,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",1110,"BG",0.384,0.31372887,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",1119,"BG",0.768,0.6388265,0.4767642,,,,,2
"ESS3e03_7",3,"3.7","01.12.2018",1201,"BG",0.768,0.62745774,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",1202,"BG",1.1519,0.8010066,0.4767642,,,,,10
"ESS3e03_7",3,"3.7","01.12.2018",1203,"BG",1.1519,1.0950159,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",1204,"BG",1.1519,1.195502,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",1205,"BG",1.5359,1.314044,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",1206,"BG",1.1519,0.9855116,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",1207,"BG",1.1519,0.9855116,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",1302,"BG",0.384,0.2764201,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",1303,"BG",1.5359,2.22473,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",1308,"BG",0.768,0.5528402,0.4767642,,,,,9
"ESS3e03_7",3,"3.7","01.12.2018",1310,"BG",0.768,1.4839053,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",1311,"BG",1.5359,1.2775698,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",1313,"BG",1.1519,1.5327091,0.4767642,,,,,6
"ESS3e03_7",3,"3.7","01.12.2018",1317,"BG",0.768,1.0218948,0.4767642,,,,,5
"ESS3e03_7",3,"3.7","01.12.2018",1402,"BG",1.1519,0.9855116,0.4767642,,,,,0
"ESS3e03_7",3,"3.7","01.12.2018",1407,"BG",0.768,0.6388265,0.4767642,,,,,3
"ESS3e03_7",3,"3.7","01.12.2018",1408,"BG",0.768,0.65706474,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",1409,"BG",1.9199,1.6425763,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",1411,"BG",1.5359,1.1056083,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",1412,"BG",0.384,0.2764201,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",1414,"BG",1.1519,0.8010066,0.4767642,,,,,4
"ESS3e03_7",3,"3.7","01.12.2018",1501,"BG",1.1519,1.0950159,0.4767642,,,,,7
"ESS3e03_7",3,"3.7","01.12.2018",1504,"BG",0.768,0.87334424,0.4767642,,,,,1
"ESS3e03_7",3,"3.7","01.12.2018",1505,"BG",1.1519,1.0950159,0.4767642,,,,,8
"ESS3e03_7",3,"3.7","01.12.2018",1506,"BG",1.1519,1.5327091,0.4767642,,,,,5
